"Summary of the Bayesian multilevel models showing the effects of patch size, patch area/perimeter ratio, urbanization score, distance to the nearest patch, jurisdictional agency types (01 for federal, 02 for state, 03 county, 04 cross-county, 05 city, and 06 for others), distance to the patch edge, and distance to the nearest paved trail on multilevel models of forest patch diversity, structure, and complexity across the Anoka Sandplain, Big Woods, and St. Paul - Baldwin ecological subsections. The abbreviations represent Marginal R2 (Marg. R2), Conditional R2 (Cond. R2), standard error of the estimate (Est. Error), lower (l-95% CI) and upper (u-95% CI) bounds of the 95% credible interval for the estimate, model convergence diagnostic (Rhat),  effective sample size for bulk estimates (Bulk ESS), and Effective sample size for the distribution tails (Tail ESS). For detailed descriptions of predictors, see the Methods section.",,,,,,,,,,,
Response variable,Ecological subsection,Marg. R2,Cond. R2,Predictor,Estimate,Est. Error,l-95% CI,u-95% CI,Rhat,Bulk ESS,Tail ESS
Tree species richness,Anoka Sandplain,0.26,0.28,Intercept,5.32,0.4,4.53,6.11,1,7553,7505
,,,,patch size (m2),0.06,0.03,-0.01,0.13,1,14588,8267
,,,,perimeter length of patch (m),-0.02,0.03,-0.08,0.05,1,17047,9330
,,,,urbanization score,0.09,0.04,0.01,0.18,1,16453,9740
,,,,distance to nearest patch (km),-0.02,0.04,-0.09,0.05,1,17622,9954
,,,,agency type 2,-1.14,0.44,-2,-0.28,1,7912,7687
,,,,agency type 3,-1.25,0.41,-2.05,-0.45,1,7635,7553
,,,,agency type 4,-1.96,0.83,-3.6,-0.33,1,14050,9233
,,,,agency type 5,-1.1,0.41,-1.9,-0.29,1,8016,8373
,,,,distance to patch edge (m),0,0.03,-0.06,0.05,1,18301,8787
,,,,distance to paved trail (m),-0.11,0.05,-0.21,-0.01,1,19559,8510
,Big Woods,0.111,0.147,Intercept,3.89,0.19,3.52,4.26,1,11683,9633
,,,,patch size (m2),-0.01,0.04,-0.08,0.06,1,18228,9395
,,,,perimeter length of patch (m),0.05,0.08,-0.11,0.22,1,18431,9988
,,,,urbanization score,-0.04,0.04,-0.1,0.03,1,16249,9911
,,,,distance to nearest patch (km),-0.02,0.03,-0.07,0.04,1,22014,10068
,,,,agency type 2,0.98,0.27,0.46,1.52,1,22704,9450
,,,,agency type 3,0.42,0.47,-0.5,1.36,1,16067,10097
,,,,agency type 4,0.54,0.22,0.1,0.98,1,12823,9863
,,,,agency type 5,0.8,0.26,0.29,1.31,1,12097,9821
,,,,agency type 6,0.8,0.64,-0.47,2.06,1,17285,10335
,,,,distance to patch edge (m),-0.02,0.03,-0.08,0.04,1,20649,8872
,,,,distance to paved trail (m),0.11,0.08,-0.05,0.28,1,13427,8831
,St. Paul - Baldwin,0.21,0.334,Intercept,6.79,0.64,5.52,8.02,1,4501,6149
,,,,patch size (m2),0.02,0.08,-0.14,0.19,1,8853,8673
,,,,perimeter length of patch (m),-0.06,0.05,-0.17,0.04,1,10364,9873
,,,,urbanization score,0.01,0.07,-0.11,0.14,1,8987,9405
,,,,distance to nearest patch (km),0.02,0.06,-0.1,0.14,1,10944,9314
,,,,agency type 2,-1.96,0.68,-3.29,-0.61,1,5155,6635
,,,,agency type 3,-2.53,0.65,-3.8,-1.23,1,4753,6291
,,,,agency type 4,-3.15,1.02,-5.15,-1.13,1,5594,7748
,,,,agency type 5,-2.25,0.68,-3.57,-0.9,1,4707,6614
,,,,agency type 6,-2.42,0.79,-3.96,-0.87,1,5783,7937
,,,,distance to patch edge (m),-0.02,0.04,-0.1,0.06,1,21418,9833
,,,,distance to paved trail (m),0,0.06,-0.11,0.11,1,12461,9830
Tree abundance,Anoka Sandplain,0.148,0.331,Intercept,9.22,1.61,6.1,12.4,1,5149,6589
,,,,patch size(m2),0.13,0.17,-0.19,0.46,1,7148,8245
,,,,perimeter length of patch (m),0.04,0.14,-0.22,0.3,1,9724,9005
,,,,urbanization score,0.28,0.16,-0.04,0.6,1,8823,9801
,,,,distance to nearest patch (km),-0.09,0.14,-0.36,0.19,1,10244,9461
,,,,agency type 2,4.55,1.73,1.17,7.94,1,5349,6878
,,,,agency type 3,3.85,1.62,0.63,7.03,1,5260,6966
,,,,agency type 4,-0.74,2.83,-6.28,4.78,1,9199,8823
,,,,agency type 5,2.72,1.65,-0.56,5.93,1,5414,7036
,,,,distance to patch edge (m),0.03,0.09,-0.16,0.21,1,18587,8775
,,,,distance to paved trail (m),-0.29,0.2,-0.66,0.1,1,8883,9240
,Big Woods,0.153,0.346,Intercept,12.91,0.56,11.82,14,1,7651,7923
,,,,patch size (m2),-0.21,0.11,-0.42,0,1,9770,10177
,,,,Patch area/perimeter ratio,-0.28,0.21,-0.68,0.13,1,13384,9506
,,,,urbanization score,-0.18,0.1,-0.37,0.02,1,9893,10087
,,,,distance to nearest patch (km),-0.03,0.07,-0.18,0.11,1,14031,9720
,,,,agency type 2,-0.55,0.63,-1.79,0.68,1,18122,9872
,,,,agency type 3,0.94,1.35,-1.78,3.57,1,10295,10173
,,,,agency type 4,1.86,0.67,0.55,3.2,1,7850,8207
,,,,agency type 5,1.1,0.74,-0.37,2.54,1,7507,9425
,,,,agency type 6,-0.53,1.68,-3.79,2.78,1,12923,9612
,,,,distance to patch edge (m),0.23,0.08,0.09,0.38,1,21151,9833
,,,,distance to paved trail (m),0.52,0.26,0.01,1.03,1,8157,8094
,St. Paul - Baldwin,0.158,0.361,Intercept,11.9,1.5,8.91,14.85,1,2781,4669
,,,,patch size (m2),-0.19,0.19,-0.56,0.17,1,5139,7389
,,,,Patch area/perimeter ratio,-0.03,0.12,-0.27,0.19,1,5634,8517
,,,,urbanization score,-0.22,0.15,-0.51,0.07,1,5406,7819
,,,,distance to nearest patch (km),-0.21,0.14,-0.49,0.06,1,6024,8338
,,,,agency type 2,0.01,1.6,-3.19,3.16,1,3073,4710
,,,,agency type 3,1.99,1.53,-1.01,5.02,1,2893,4799
,,,,agency type 4,0.43,2.31,-4.1,4.92,1,2969,5465
,,,,agency type 5,1.91,1.58,-1.2,5.08,1,2907,4839
,,,,agency type 6,2.72,1.86,-0.99,6.36,1,3585,5363
,,,,distance to patch edge (m),0.15,0.08,-0.01,0.31,1,14481,9882
,,,,distance to paved trail (m),0.07,0.12,-0.18,0.31,1,6409,8589
Undertory plant abundance,Anoka Sandplain,0.115,0.13,Intercept,28.09,2.62,22.92,33.24,1,6821,7732
,,,,patch size (m2),-0.11,0.25,-0.6,0.39,1,13099,7561
,,,,Patch area/perimeter ratio,0.55,0.26,0.03,1.06,1,13219,9023
,,,,urbanization score,-0.16,0.33,-0.81,0.49,1,13696,8836
,,,,distance to nearest patch (km),0,0.28,-0.54,0.54,1,13121,8506
,,,,agency type 2,0.61,2.92,-5.18,6.24,1,7171,7966
,,,,agency type 3,1.9,2.66,-3.26,7.16,1,7019,7799
,,,,agency type 4,-0.06,5.22,-10.23,9.99,1,12462,8533
,,,,agency type 5,1.44,2.73,-3.89,6.89,1,7344,8114
,,,,distance to patch edge (m),0.34,0.23,-0.11,0.79,1,14541,9062
